id	time	ip	query	bgp	precision	recall
1	2017-06-09 21:53:19.285844	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se21105_617 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
2	2017-06-09 22:06:03.671503	127.0.0.1	"prefix : <http://www.example.org/lift2#> select ?s where { ?s :p2 ""toto"" }"	"?se21106_616 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
3	2017-06-09 22:06:41.692349	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se23292_426 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
4	2017-06-09 22:10:10.060880	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se21105_619 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
5	2017-06-09 22:10:38.872682	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se23291_426 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
6	2017-06-09 22:10:51.126644	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se21106_618 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
7	2017-06-09 22:11:22.594360	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se23292_428 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
8	2017-06-09 22:12:01.477322	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se21105_621 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
9	2017-06-10 07:25:29.660342	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se21106_620 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
10	2017-06-10 07:25:30.991175	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se23291_428 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
11	2017-06-10 07:26:08.644251	127.0.0.1	"prefix : <http://www.example.org/lift2#> select ?s ?o where { ?s :p3 ""titi"" . ?s :p1 ?o . ?s :p4 ""tata"" }"	"?se23292_430 <http://www.example.org/lift2#p3> ""titi"".
?se23292_430 <http://www.example.org/lift2#p4> ""tata"""	1.0	0.6666666666666666
12	2017-06-10 07:26:09.645737	127.0.0.1	"prefix : <http://www.example.org/lift2#> select ?s ?o where { ?s :p2 ""toto"" . ?s :p1 ?o }"	"?se21106_622 <http://www.example.org/lift2#p2> ""toto"".
?se21106_622 <http://www.example.org/lift2#p1> ?oe21106_623"	1.0	1.0
13	2017-06-10 07:26:09.650818	127.0.0.1	"prefix : <http://www.example.org/lift2#> select ?s where { ?s :p2 ""tutu"" }"	"?se23292_434 <http://www.example.org/lift2#p2> ""tutu"""	1.0	1.0
14	2017-06-10 07:26:52.329330	127.0.0.1	"prefix : <http://www.example.org/lift2#> select ?s ?o where { ?s :p3 ""titi"" . ?s :p1 ?o . ?s :p4 ""tata"" }"	"?se21105_625 <http://www.example.org/lift2#p3> ""titi"".
?se21105_625 <http://www.example.org/lift2#p4> ""tata"".
?se21105_625 <http://www.example.org/lift2#p1> ?oe21106_625"	1.0	1.0
15	2017-06-10 07:26:53.330363	127.0.0.1	"prefix : <http://www.example.org/lift2#> select ?s ?o where { ?s :p2 ""toto"" . ?s :p1 ?o }"	"?se23291_434 <http://www.example.org/lift2#p2> ""toto"".
?se23291_434 <http://www.example.org/lift2#p1> ?oe21106_627"	1.0	1.0
16	2017-06-10 07:26:53.336464	127.0.0.1	"prefix : <http://www.example.org/lift2#> select ?s where { ?s :p2 ""tutu"" }"	"?se21105_629 <http://www.example.org/lift2#p2> ""tutu"""	1.0	1.0
17	2017-06-10 07:26:53.954392	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se23291_437 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
18	2017-06-10 07:26:59.804349	127.0.0.1	"prefix : <http://www.example.org/lift2#> 
select ?s 
where { ?s :p2 ""toto"" }"	"?se23292_438 <http://www.example.org/lift2#p2> ""toto"""	1.0	1.0
